hash,name,text
45605346,NQ_7625_LOG_OFFEN,'These Haduk are wretched creatures. It is almost unbearable to see how they suffer from the Nuk-Nuk. They have begged me to free them and I am going to do it… not because I feel charitable, but because the Haduk have promised me a reward after all.'
46196566,NQ_7611_LOG_HEADER,'The Insect Larvae Queen'
46736734,DQ_15077_OFFEN,"Please don't forget to look for Fyren."
47537191,DQ_15027_OFFEN,'It doesn’t matter if you cannot find those roses. I am sure you have to attend to matters that are more important.'
50898799,NQ_Q10010_QOFFEN,'You have let him get away, and dare to bring me his slave ring as a goodbye present? You will pay for this, you traitor! DIE!'
53155602,NQ_UW13_LOG_HEADER,'Recover the treasure chest from the crab cave'
54637681,NQ_7614_LOG_TITLE,'The Missing Child'
65026658,DQ_15010_LOG_OFFEN,'All I have left to do in order to complete this task is to deliver the meat to Gunhald Wegenald in Silver Creek.'
71321130,NQ_Q23877_LOG_DIALOG,'Next Level'
71321357,NQ_OW6049_PRE,'Physical Regeneration'
71333674,NQ_DWBM18038_LOG_PRENPC,'Armor Bonus'
71422834,NQ_DWBM16683_LOG_DIALOG,'X-MAS'
71422941,NQ_BLDH4738_OFFEN,'X-MAS'
71423285,NQ_RB17718_PRE,"Agh'Ba's Dreadful Bone Staff of Death"
72764143,Q_29843_LOG_DIALOG,'Whirling Morning Star'
72764255,NQ_OWBM20372_LOG_TEXT,'Knorr Wand of Mages'
72776576,NQ_OWBM14980_LOG_ABBRUCH,'Leg Plates'
72789002,NQ_OWBM27324_TITLE,'Grand-death of Agony'
72789563,NQ_Y14884_TEXT,'Blessed Vampire Two-hander'
72802336,NQ_UW27358_LOG_TITLE,'Warhammer'
72814319,NQ_UW26398_LOG_OFFEN,'Warchurl'
72827536,NQ_Q21383_PRENPC,'Heavy Crossbow'
72828101,NQ_WD14548_PRE,'Partisan'
72839856,DQ_29611_QOFFEN,'Battle Staff'
72852849,NQ_UW24022_FAIL,"Mystical Mage's Staff of the Void"
72853408,DQ19_VERTEIDIGE_NPC_ZIEL20_LOG,'Wooden Shield'
72853412,NQ_UW29106_PRE,'Orcish Shield'
72865734,NQ_B23139_LOG_DIALOG,'Tower Shield'
72865955,NQ_OW27546_TITLE,'Tower Shield'
72878163,NQ_RB17056_LOG_FAIL,'Gambeson'
72879059,DQ31_ESKORTIERE_NPC_ZIEL52_HEADER,'Reptileskin'
74219247,NQ_Z27850_DIALOG,'Jagged Sword of Embers'
74232468,NQ_OW21873_ABBRUCH,'Dark Elven Leather Bracers'
74244438,NQ_WD23180_HEADER,'Reptileskin Shoulder Guards'
74244445,NQ_OWBL24016_LOG_TITLE,'Ringmail Arm Greaves'
74245011,NQ_WD11193_FAIL,'Boots'
74270091,NQ_8699_LOG_HEADER,'Metal Armor'
74270887,NQ_OWWB13861_SIEG,'Metal Armor'
74270994,NQ_OWHE27003_LOG_TEXT,'Metal Armor'
74296080,NQ_Y23455_LOG_HEADER,'Leather Armor'
74296084,NQ_UW4931_PRENPC,'Winged Helmet'
74296310,Q_3795_PRENPC,"Serhal's Cloth of the Elements"
74321735,DQ_17082_LOG_PRENPC,'Leather Gauntlets'
74322072,NQ_PS21369_PRENPC,"Lady Magory's Gauntlets of Health"
74480405,DQ_15017_ZIEL,'I was worried that I would never leave here again. I thank you very much, and I would be very happy to welcome you as a guest in my house one day so as to thank you properly. Safe journeys to you!'
74560678,NQ_BLDH21952_LOG_QSIEG,'(Brainless groaning) #2'
75346085,DQ_15030_LOG_ZIEL,'Another good deed is done.<n>Quest completed.'
75649030,NQ_1194_POST,"Uriel's Boots of Faith"
75649259,NQ_OWHE2227_LOG_DIALOG,'Shoulder Armor of Honor'
75649601,NQ_SF8530_TITLE,"Lorgar's Shoulder Armor"
75661802,NQ_OWHE13693_HEADER,'Book of History VI'
75725756,NQ_DW18208_POST,'Key'
75725761,NQ_OWBL17728_LOG_TITLE,"Scroll: Hoxar's Demise"
75725873,DQ_20060_LOG_TEXT,'Scroll: The Subkari'
75738750,NQ_OWWB7586_LOG_HEADER,"Esarah's Bejeweled Amulet of the Sun"
75739315,NQ_OWBL28135_LOG_HEADER,'Amulet of Fire'
75751180,NQ_OW11244_QOFFEN,'Bone Amulet'
75751293,NQ_BLDH14096_HEADER,'Jewelled Star Amulet '
75752086,Q_12404_PRENPC,'Fiery Ring of the Elements'
75764066,NQ_PS29176_LOG_POST,'Ring'
75764966,NQ_DWHE15143_LOG_PRE,'Ring'
76096120,DQ8_TOETE_NPC_ZIEL1,'Orc'
76096121,DQ8_TOETE_NPC_ZIEL2,'Ogre'
76096122,DQ8_TOETE_NPC_ZIEL3,'Minotaur'
76096123,DQ8_TOETE_NPC_ZIEL4,'Harpy'
76096124,DQ8_TOETE_NPC_ZIEL5,'Gargoyle'
76096125,DQ8_TOETE_NPC_ZIEL6,'Wyvern'
76096126,DQ8_TOETE_NPC_ZIEL7,'Zombie'
76096127,DQ8_TOETE_NPC_ZIEL8,'Ghoul'
76096128,DQ8_TOETE_NPC_ZIEL9,'Skeleton'
77105151,NQ_Q14825_TITLE,'Healing Potion'
77143116,RB_1187_LOG_POST,'Transformation'
77156453,NQ_X25711_PRE,'Rage (Attack)'
77156796,NQ_BLDH19647_WARN,'reserved upgrade'
77168542,NQ_SF1964_QSIEG,'Combat Arts Rune - Wolf Call'
77181428,NQ_OWHE17311_TEXT,'+++EMPTY+++'
77181761,NQ_DW29839_LOG_TITLE,'+++EMPTY+++'
77673460,DQ18_TOETE_NPC_ZIEL1,'Orc'
77673461,DQ18_TOETE_NPC_ZIEL2,'Ogre'
77673462,DQ18_TOETE_NPC_ZIEL3,'Minotaur'
77673463,DQ18_TOETE_NPC_ZIEL4,'Harpy'
77673464,DQ18_TOETE_NPC_ZIEL5,'Gargoyle'
77673465,DQ18_TOETE_NPC_ZIEL6,'Wyvern'
77673466,DQ18_TOETE_NPC_ZIEL7,'Zombie'
77673467,DQ18_TOETE_NPC_ZIEL8,'Ghoul'
77673468,DQ18_TOETE_NPC_ZIEL9,'Skeleton'
78547595,NQ_OWHE13699_LOG_TEXT,'Demon Horn'
78624321,NQ_VW23690_LOG_SIEG,'Plate Armor'
78624658,NQ_Y21213_LOG_TITLE,'Leather Weapons Dress'
78636976,NQ_VW13554_POST,'Leather Cap'
78650536,NQ_Z13138_LOG_PRE,'Metal Helmet'
79977724,NQ_BLDH13744_LOG_SIEG,'Shortbow'
79978291,NQ_OWWB15037_LOG_SIEG,"Magical Ranger's Bow"
79978627,NQ_X18502_SIEG,'Magical Elven Bow'
79990606,NQ_OW5578_LOG_PRENPC,'Leather Gauntlets'
79990834,NQ_Q23126_TITLE,'Leather Gauntlets'
79990943,NQ_DWHE29878_TITLE,'Leather Gauntlets'
80003262,NQ_OWWB775_LOG_TITLE,"Swift Angel's Blade"
80003937,NQ_BLDH503_TITLE,'Swift Bronze Ring'
80004163,NQ_Q5103_TEXT,'Aquamarine of Magic Lore'
80028910,NQ_DWBM18868_POST,'Amethyst of Attack'
80029140,NQ_DW24024_LOG_TITLE,'Silver Onyx Ring'
80029369,Q_13238_DIALOG,'Poison Beryl'
80029592,NQ_WD13410_PRE,'Chrysopras of Earth'
80029707,NQ_Q14047_LOG_ABBRUCH,'Chrysopras of Concentration'
80041686,NQ_OWBM21570_OFFEN,'Golden Gahnite Ring of Meditation'
80041794,NQ_OWBL28449_LOG_QSIEG,"Arhles T'gaw's Hoop"
80042477,DQ7_BRINGE_NPC_ZIEL86_LOG,"Ethan-Rhys' Sneaky Enchantment"
80067104,NQ_14509_LOG_SIEG,"Egill's Adornment of Piercing"
80067219,NQ_Q22979_POST,"Thodran Amfist's Vengeful Leather"
80067222,NQ_OW22236_ZIEL,"Thodran Amfist's Adornment of Cleaving"
80092868,DQ47_BESCHUETZE_NPC_ZIEL64_HEADER,'Hood of Madness'
80093326,NQ_RB15725_DIALOG,'X-MAS'
80093436,NQ_PS25248_DIALOG,'X-MAS'
81446721,NQ_OWBM5208_DIALOG,'Explosive Charge'
81471700,NQ_C17174_LOG_ZIEL,'The End of Tyranny'
81484470,NQ_DWHE6386_QOFFEN,"Located in the beautiful southwestern area of the realm is the Barony of Mascarell, with its avenues and roads of splendor. Mascarell is well known for its lavish spirit, artists and poets. Bards and singers also sing long into the night of fables and legends in Ancaria, one such being the 'Ballad of the Exquisite Blade!' The daughters Lara and Leah, of the first Baroness, Bianca of Mascarell, related to Aarnum IV. requested the aid of the best instructors of the country, centuries ago after Mascarell become a stronghold of wisdom and beauty. A place between Florentina and Faeries Crossing, which takes its name from the first meeting with the Elves of Tyr-Hadar, rather than for the magnificent orchids and exotic flora for which it is famous."
81485480,NQ_UW5247_LOG_PRE,'Dwarf: Ghosts'
81497684,NQ_X2321_INFO,'Mohkva'
81497802,NQ_RB12455_LOG_TEXT,'The blood of the initiation still sticks to my lips with its sweet smell as I return from the gorge of the Priestess. Now it is finally time, to devote myself to the shadow. Blade and poison lies ready and my strong and firm body lusts for ambush. For nights now we have been following two elves of the woods from Tyrhadar-Nar. Something strange is upon me... while my brothers would rather feast on the blood of the dying elves, a calling beckons me... but what makes me different from these fools?'
81510115,NQ_B28158_SIEG,'Take two thirds a cup of lard and one half a cup of diced suet, and mix into three cups of flour and one half a table spoon of salt. Stir in about one half a cup of cold water, shape into a ball and leave to rest, covered, about an hour. Roll out and cut into circles. Place fillings of your desire within the circle centers, fold pastry and crimp shut with a fork, then bake in a good heat for a full half of an hour, or until browned.'
81510911,NQ_B27029_LOG_QSIEG,'Laws of the Barony DeMordrey'
81535650,NQ_DWBM7381_LOG_OFFEN,"Anducar's Court"
82224255,DQ_10259_LOG_OFFEN,'I have taken eight rings from the orcs. The nobleman in the oasis promised to give me gold for them.'
82876736,NQ_DWBM1498_LOG_HEADER,'Hard hit night description for quest book. THERE IS NO HH AT NIGHT!!!!'
82876852,NQ_Z4762_LOG_TITLE,"This surprise attack causes a corrosive cloud of poison to arise, which burns the opponent's lungs or makes their bones porous if they breathe in the fumes."
82877195,NQ_DWBM20449_WARN,'An opponent is hurled backwards by a forceful blow.  Damages the opponent who is initially struck and all others who the opponent collides into. (The distance covered depends on the size of the opponent). Will only work while using two-hand weapons.'
82889052,DQ_28081_POST,"Inscriptio Panica' (ancient Ancarian, also known as the 'inscription of panic') causes a circle of runes to be conjured up at the chosen location and creates an invisible wall of protection from which opponents flee in terror. Opponents find themselves unable to enter the circle, since it confronts them with their deepest fears."
82889058,Q_1462_POST,"The 'Solis Ortus' (ancient Ancarian for 'sunrise') is a classic fireball, which is emitted from the hands of a magician and is able to kill weaker opponents directly. Upgrades of this combat spell may increase the speed at which the magician can cast fireballs and the fire balls will have a bigger impact area; both will enable the magician to harm several enemies at once."
82953010,NQ_OWBL17563_LOG_POST,'Fires several arrows simultaneously with a scatter angle of 180°. <n>Combat art may be combined with other arrow attacks.'
82953348,NQ_WD25956_LOG_TEXT,'Summons bats, which catch shots fired from ranged weapons and attacking magic.'
82965782,NQ_OW10200_LOG_SIEG,'Magician becomes transparent and permeable to opponents, in order to cause a threatening encirclement.'
82965784,NQ_OWHE11481_QSIEG,'Ball lightning short description for tooltip'
82966117,NQ_DW15569_LOG_INFO,'Cloud short description for tooltip'
82978893,Q_25778_LOG_TEXT,"The icons on the right are the <colorw=FFFFFF80>Blacksmith's arts. Simply pull them onto the free <colorw=FFFFFF80>Mounts of the object."
82979112,NQ_OWHE1207_LOG_HEADER,'Current <colorw=FFFFFF80>Health'
83187979,DQ_15023_LOG_OFFEN,'That was truly a challenge. Should I eat the chicken or deliver it?'
87909624,NQ_OW6577_INTRO,"Ahh, a barrel of the best whiskey. I'll give you 4,000 for it, do you accept? "
90095334,DQ19_TOETE_NPC_ZIEL1,'Orc'
90095335,DQ19_TOETE_NPC_ZIEL2,'Ogre'
90095336,DQ19_TOETE_NPC_ZIEL3,'Minotaur'
90095337,DQ19_TOETE_NPC_ZIEL4,'Harpy'
90095338,DQ19_TOETE_NPC_ZIEL5,'Gargoyle'
90095339,DQ19_TOETE_NPC_ZIEL6,'Wyvern'
90095340,DQ19_TOETE_NPC_ZIEL7,'Zombie'
90095341,DQ19_TOETE_NPC_ZIEL8,'Ghoul'
90095342,DQ19_TOETE_NPC_ZIEL9,'Skeleton'
90133392,DQ_15021_ZIEL,'By the sea creatures of the deep, ye really helped me to get away from here! I wish ye good winds all the way. I’m off home, yo ho ho and a barrel full o’ rum!'
94443932,DQ5_TOETE_NPC_ZIEL10,'Magician'
94443933,DQ5_TOETE_NPC_ZIEL11,'Dark Elf'
94443934,DQ5_TOETE_NPC_ZIEL12,'DeMordreyan Soldier'
94443935,DQ5_TOETE_NPC_ZIEL13,'Robber'
94443936,DQ5_TOETE_NPC_ZIEL14,'Lich'
94443937,DQ5_TOETE_NPC_ZIEL15,'Poisonous Spider'
94443938,DQ5_TOETE_NPC_ZIEL16,'Nobleman'
94443939,DQ5_TOETE_NPC_ZIEL17,'Mummy'
94443940,DQ5_TOETE_NPC_ZIEL18,'Undead Mage'
95617525,NQ_B24857_SIEG,'Concept Sketches'
95617859,NQ_BLDH26080_LOG_ABBRUCH,'Armor and Weapon Modelling'
98019837,DQ_15059_ZIEL,'You caught them? Fantastic! I sincerely hope we see a return to peace and quiet now. Thank you very much for your help.'
99527738,NQ_5003_LOG_TITLE,"H'Runga'zz  "
100245043,DQ_15037_OFFEN,'Have you found him yet? I hope that nothing has happened to him…'
100959846,DQ_15024_OFFEN,'I hope that you will be able to track down the murderer. Good luck.'
101112380,DQ_15084_LOG_ZIEL,'I have handed the lock to Lex. Finally, he may go back to his beloved wife.'
105875898,NQ_OWHE26189_PRE,'I need a little more experience before I can use this.'
107062795,DQ_15029_LOG_ZIEL,'I have a strange feeling that my action was merely a drop in a bucket.<n>Quest completed.'
107096714,DQ_15066_LOG_ZIEL,'Larana Derkant is now facing the grim task of telling the victims’ wives that they have become widows. Being careless in this area has very grave consequences…<n>Quest completed.'
107139970,NQ_Y24419_TITLE,'8'
108887586,DQ_15019_LOG_OFFEN,'I was able to acquire the message and now I will take it to Ahil-Tar as fast as I can.'
109521188,NQ_7622_LOG_SIEG,'I succeeded in freeing the brother’s soul. He finally found his entrance into the Depths of Death and the curse was taken from him. The pirate is very relieved and grateful. I will honor the family ring I have received as promised… although pirates in general are a despicable folk…'
109911437,NQ_23082_LOG_QSIEG,'Enhanced Staff of Devouring'
110123973,NQ_5005_LOG_TITLE,'Pony Express'
113672824,DQ_15063_ZIEL,'You did it, you have avenged our deaths. Thank you. The souls of my beloved family members are free now and I will be able to join them soon. We will never forget what you have done for us.'
116980254,NQ_Z12549_LOG_ZIEL,'Hehe… hit hard! Fresh meat for Golem. Great fun!'
117004233,DQ_15002_LOG_ZIEL,'Gingala is safe and well and has been reunited with her sister.<n>Quest completed.'
117502343,NQ_C18709_LOG_QSIEG,'Dancer'
123286401,NQ_UW11_LOG_OFFEN,'All demons are dead and I should go and talk to the ghost of the Dwarf.'
124566733,NQ_7615_LOG_SIEG,'Many scorpions were felled and much desert was crossed before I could find the ingredients with which to save the child. I prevailed and succeeded. Well, I hope the child will be more careful in the future.'
125210385,DQ_15029_ZIEL,'You have proven that you are worthy of acting in the name of the Crown. It was an honor to meet you. May the Gods protect you.'
126397092,NQ_7621_LOG_SIEG,'The chef has received the twelve crab legs and he is now preparing the crab cocktail that he is so fond of. What’s more, he has kept his word and he has given me the magic ring.'
130763717,NQ_7614_LOG_SIEG,'Mother and child have been reunited. I am glad that I was able to save the child. It is almost a miracle that she is unscathed… the area is infested with hostile creatures.'
130884516,NQ_Z11623_FAIL,"DeMordrey's Sharuka murderers are said to obey only his orders and even to have defeated the King's soldiers. What a dictator! We are at his mercy without protection and Aarnum's crown is in the hands of a despot!"
130897281,NQ_DWHE15824_LOG_QSIEG,"The rebels are poorly equipped and surely don't have a chance against DeMordrey's Sharuka Guard and his armored wolves.<n>I wonder where DeMordrey got them from. They used to belong to the Dark Elves of Zhurag-Nar."
130910052,NQ_OWHE3130_TITLE,'A demon was seen, and the dead rose up out of his footsteps. The demon screeched, wailed and bellowed a name that awakens yet more horror than that of DeMordrey… He called for Shaddar!'
134125751,DQ1_TOETE_NPC_ZIEL1,'Orc'
134125752,DQ1_TOETE_NPC_ZIEL2,'Ogre'
134125753,DQ1_TOETE_NPC_ZIEL3,'Minotaur'
134125754,DQ1_TOETE_NPC_ZIEL4,'Harpy'
134125755,DQ1_TOETE_NPC_ZIEL5,'Gargoyle'
134125756,DQ1_TOETE_NPC_ZIEL6,'Wyvern'
134125757,DQ1_TOETE_NPC_ZIEL7,'Zombie'
134125758,DQ1_TOETE_NPC_ZIEL8,'Ghoul'
134125759,DQ1_TOETE_NPC_ZIEL9,'Skeleton'
135426416,NQ_Q11695_TEXT,'Iridescent Cannon of the Jubilant'
137870228,NQ_14360_LOG_QOFFEN,'It is time for new garments. Please find a tailor who is willing to come here. '
138923326,NQ_10416_LOG_ZIEL,'Oi, you ... fallen asleep?'
139129361,NQ_DWHE9000_PRENPC,"That won't help you either!"
140638034,DQ_15081_LOG_ZIEL,'The warrior was enthusiastic when he learnt that the hell golems were greatly angered.<n>'
140794963,NQ_7606_LOG_TITLE,'Battle of Powers - Mire Worm'
140863372,DQ_15033_ZIEL,'Marvelous, you did well! Perhaps you could pick up my chicken from the quarry soon or maybe my architect from the forest. As always, you will have to follow the snapped twigs. Don’t look so bemused…'
141676573,DQ2_BRINGE_NPC_ZIEL10,'Day Laborers'
141676574,DQ2_BRINGE_NPC_ZIEL11,'Master Builder'
141676575,DQ2_BRINGE_NPC_ZIEL12,'Carpenter'
141676576,DQ2_BRINGE_NPC_ZIEL13,'Smith'
141676577,DQ2_BRINGE_NPC_ZIEL14,'Art Expert'
141676578,DQ2_BRINGE_NPC_ZIEL15,'Alchemist'
141676579,DQ2_BRINGE_NPC_ZIEL16,'Veterinarian'
141676580,DQ2_BRINGE_NPC_ZIEL17,'Furrier'
141676581,DQ2_BRINGE_NPC_ZIEL18,'Tailor'
141676582,DQ2_BRINGE_NPC_ZIEL19,'Maidservant'
141676686,DQ2_BRINGE_NPC_ZIEL20,'Servant'
141676687,DQ2_BRINGE_NPC_ZIEL21,"Lady's Maid"
141676688,DQ2_BRINGE_NPC_ZIEL22,'Geologist'
141676689,DQ2_BRINGE_NPC_ZIEL23,'Dancer'
143359909,NQ_X4406_DIALOG,"Grave<n><n>And she said; 'I have an idea, lets play catch the goblin'"
143372676,NQ_WD20363_QSIEG,"Grave<n><n>Note to self: 'Attending a Dragon Convention should not be taken to heart'"
143385786,NQ_OWHE4807_LOG_PRE,"Grave<n><n>'Looking for part-time job, spit all the time, every time'"
143386006,NQ_Z21716_TEXT,'Grave<n><n>I am here, now what?'
143386121,NQ_OWHE28536_LOG_TEXT,"Grave<n><n>'What you mean that club was real?'"
145092632,NQ_Z23979_LOG_PRE,'Endless existence is not made more bearable by such creatures.'
149491637,NQ_UW9517_LOG_OFFEN,'I have found Felix the Knife. He says that Dominik the Saber is probably in the tavern where he is drinking cheap booze and killing time (and probably the other guests).'
149741268,NQ_7624_LOG_OFFEN,'A Nuk-Nuk shaman wants me to find five Haduk workers who ran away from him. I don’t really care about the destiny of this pitiful creature, but it is possible that this Nuk-Nuk owns some interesting items… and I might receive one of them if I help him.'
152201022,DQ16_TOETE_NPC_ZIEL1,'Orc'
152201023,DQ16_TOETE_NPC_ZIEL2,'Ogre'
152201024,DQ16_TOETE_NPC_ZIEL3,'Minotaur'
152201025,DQ16_TOETE_NPC_ZIEL4,'Harpy'
152201026,DQ16_TOETE_NPC_ZIEL5,'Gargoyle'
152201027,DQ16_TOETE_NPC_ZIEL6,'Wyvern'
152201028,DQ16_TOETE_NPC_ZIEL7,'Zombie'
152201029,DQ16_TOETE_NPC_ZIEL8,'Ghoul'
152201030,DQ16_TOETE_NPC_ZIEL9,'Skeleton'
153736788,DQ16_BRINGE_NPC_ZIEL10,'Day Laborers'
153736789,DQ16_BRINGE_NPC_ZIEL11,'Master Builder'
153736790,DQ16_BRINGE_NPC_ZIEL12,'Carpenter'
153736791,DQ16_BRINGE_NPC_ZIEL13,'Smith'
153736792,DQ16_BRINGE_NPC_ZIEL14,'Art Expert'
153736793,DQ16_BRINGE_NPC_ZIEL15,'Alchemist'
153736794,DQ16_BRINGE_NPC_ZIEL16,'Veterinarian'
153736795,DQ16_BRINGE_NPC_ZIEL17,'Furrier'
153736796,DQ16_BRINGE_NPC_ZIEL18,'Tailor'
153736797,DQ16_BRINGE_NPC_ZIEL19,'Maidservant'
153736901,DQ16_BRINGE_NPC_ZIEL20,'Servant'
153736902,DQ16_BRINGE_NPC_ZIEL21,"Lady's Maid"
153736903,DQ16_BRINGE_NPC_ZIEL22,'Geologist'
153736904,DQ16_BRINGE_NPC_ZIEL23,'Dancer'
154122694,DQ_15076_OFFEN,'Sit down and have a drink with me. This world is unbearable when you are sober…'
156252398,NQ_Z1895_TITLE,'To Hit'
158983594,NQ_DW14043_DIALOG,'Statue'
158984385,NQ_BLDH26376_PRE,'Statue'
160847083,DQ_15016_ZIEL,'Oh! You retrieved it! Thank you, without your help, we would never have seen those herbs again.'
163938362,DQ_15078_LOG_ZIEL,'Mon Du-Hell was very grateful. I wonder whether I am going to see more of these creatures in the future…<n>Quest completed.'
164065134,NQ_OW9569_HEADER,'Screaming Shoulder Guards of the Commander'
165640812,NQ_SF23570_LOG_TITLE,'Ah yes! Here we are. I will rest for a while and find my way out of the forest later.<n>Oh, before I forget, here take this for your trouble.'
168053920,DQ_15003_ZIEL,'Thank you for your courageous intervention. I am sure the bear would have caused even more harm otherwise.'
